MS46122B
!2032304/20262023
!4/29/2022.3:56:32.AM
!CHANNEL.1
!TR.MEASUREMENT
!RF.CORRECTION.OFF
!AVERAGING.OFF
!IF.BANDWIDTH: 1KHZ
!NUMBER.OF.TRACES: 2
!TRACE:       	TRACE.1           	TRACE.2           
!PARAMETER:   	S11               	S12               
!PORT:        	PORT1             	PORT2             
!GRAPH:       	LOGMAG            	LOGMAG            
!SMOOTHING:   	OFF               	OFF               
!TIMEDOMAIN:  	NOT.INSTALLED     	NOT.INSTALLED     
!SWEEPTYPE: FREQ.SWEEP(Linear)
PNT	FREQ1.GHZ	LOGMAG1	FREQ2.GHZ	LOGMAG2
58	5.700715000	-2.399808E+001	5.700715000	-3.892126E+001
59	5.800710000	-2.433382E+001	5.800710000	-4.390862E+001
60	5.900705000	-2.194751E+001	5.900705000	-5.370441E+001
61	6.000700000	-2.329610E+001	6.000700000	-4.098332E+001
62	6.100695000	-2.003596E+001	6.100695000	-3.987494E+001
63	6.200690000	-1.473596E+001	6.200690000	-4.324465E+001
64	6.300685000	-1.324418E+001	6.300685000	-4.790665E+001
65	6.400680000	-1.277738E+001	6.400680000	-5.569709E+001
66	6.500675000	-1.263524E+001	6.500675000	-4.741802E+001
67	6.600670000	-1.274614E+001	6.600670000	-4.555389E+001
68	6.700665000	-1.321033E+001	6.700665000	-4.242585E+001
69	6.800660000	-1.395821E+001	6.800660000	-4.328608E+001
70	6.900655000	-1.447083E+001	6.900655000	-4.318427E+001
71	7.000650000	-1.476098E+001	7.000650000	-4.428972E+001
72	7.100645000	-1.491856E+001	7.100645000	-4.372186E+001
73	7.200640000	-1.489238E+001	7.200640000	-4.259563E+001
74	7.300635000	-1.439376E+001	7.300635000	-4.299583E+001
75	7.400630000	-1.383987E+001	7.400630000	-4.351672E+001
76	7.500625000	-1.310479E+001	7.500625000	-4.291137E+001
77	7.600620000	-1.237682E+001	7.600620000	-4.385274E+001
78	7.700615000	-1.177051E+001	7.700615000	-4.750342E+001
79	7.800610000	-1.153385E+001	7.800610000	-4.748472E+001
80	7.900605000	-1.176123E+001	7.900605000	-4.853246E+001
81	8.000600000	-1.124969E+001	8.000600000	-5.036829E+001
82	8.100595000	-1.103829E+001	8.100595000	-5.530347E+001
83	8.200590000	-1.072527E+001	8.200590000	-5.740614E+001
84	8.300585000	-1.035943E+001	8.300585000	-7.177947E+001
85	8.400580000	-1.043224E+001	8.400580000	-6.274007E+001
86	8.500575000	-1.036169E+001	8.500575000	-5.494060E+001
87	8.600570000	-1.060080E+001	8.600570000	-5.248354E+001
88	8.700565000	-1.089235E+001	8.700565000	-5.256221E+001
89	8.800560000	-1.128462E+001	8.800560000	-5.307821E+001
90	8.900555000	-1.123506E+001	8.900555000	-5.054051E+001
91	9.000550000	-1.109192E+001	9.000550000	-5.193226E+001
92	9.100545000	-1.066699E+001	9.100545000	-5.509770E+001
93	9.200540000	-1.019060E+001	9.200540000	-5.484209E+001
94	9.300535000	-9.701607E+000	9.300535000	-5.347412E+001
95	9.400530000	-9.208518E+000	9.400530000	-5.179197E+001
96	9.500525000	-9.061045E+000	9.500525000	-5.164543E+001
97	9.600520000	-8.790323E+000	9.600520000	-5.305643E+001
98	9.700515000	-8.453870E+000	9.700515000	-5.531082E+001
99	9.800510000	-8.482372E+000	9.800510000	-5.821926E+001
100	9.900505000	-8.220150E+000	9.900505000	-5.917367E+001
101	10.000500000	-7.954180E+000	10.000500000	-5.781753E+001
102	10.100495000	-7.901410E+000	10.100495000	-6.847218E+001
103	10.200490000	-7.807264E+000	10.200490000	-6.039558E+001
104	10.300485000	-7.912874E+000	10.300485000	-5.726353E+001
105	10.400480000	-8.237270E+000	10.400480000	-5.532307E+001
106	10.500475000	-8.488270E+000	10.500475000	-5.048491E+001
107	10.600470000	-8.726954E+000	10.600470000	-4.868304E+001
108	10.700465000	-9.005373E+000	10.700465000	-4.751949E+001
109	10.800460000	-9.379201E+000	10.800460000	-4.818417E+001
110	10.900455000	-9.600786E+000	10.900455000	-4.686001E+001
111	11.000450000	-9.513284E+000	11.000450000	-4.425082E+001
112	11.100445000	-9.092833E+000	11.100445000	-4.332444E+001
113	11.200440000	-8.853907E+000	11.200440000	-4.304311E+001
114	11.300435000	-8.475900E+000	11.300435000	-4.219103E+001
115	11.400430000	-8.245642E+000	11.400430000	-4.140694E+001
116	11.500425000	-7.969944E+000	11.500425000	-4.154978E+001
117	11.600420000	-7.943805E+000	11.600420000	-4.068404E+001
118	11.700415000	-7.974296E+000	11.700415000	-3.969823E+001
119	11.800410000	-7.951013E+000	11.800410000	-3.855789E+001
120	11.900405000	-8.051549E+000	11.900405000	-3.790380E+001
121	12.000400000	-8.312921E+000	12.000400000	-3.800870E+001
122	12.100395000	-8.627311E+000	12.100395000	-3.770118E+001
123	12.200390000	-9.199885E+000	12.200390000	-3.675260E+001
124	12.300385000	-9.811767E+000	12.300385000	-3.668890E+001
125	12.400380000	-1.075811E+001	12.400380000	-3.645866E+001
126	12.500375000	-1.177441E+001	12.500375000	-3.612143E+001
127	12.600370000	-1.310145E+001	12.600370000	-3.597961E+001
128	12.700365000	-1.445595E+001	12.700365000	-3.651543E+001
129	12.800360000	-1.640405E+001	12.800360000	-3.703798E+001
130	12.900355000	-1.742178E+001	12.900355000	-3.718044E+001
131	13.000350000	-1.825457E+001	13.000350000	-3.712093E+001
132	13.100345000	-1.829012E+001	13.100345000	-3.664563E+001
133	13.200340000	-1.724554E+001	13.200340000	-3.568117E+001
134	13.300335000	-1.611688E+001	13.300335000	-3.656566E+001
135	13.400330000	-1.524448E+001	13.400330000	-3.644960E+001
136	13.500325000	-1.462933E+001	13.500325000	-3.673887E+001
137	13.600320000	-1.438668E+001	13.600320000	-3.777901E+001
138	13.700315000	-1.386321E+001	13.700315000	-3.760492E+001
139	13.800310000	-1.397648E+001	13.800310000	-3.856659E+001
140	13.900305000	-1.444536E+001	13.900305000	-3.961112E+001
141	14.000300000	-1.484853E+001	14.000300000	-3.951740E+001
142	14.100295000	-1.486957E+001	14.100295000	-3.868009E+001
143	14.200290000	-1.551837E+001	14.200290000	-3.832570E+001
144	14.300285000	-1.520273E+001	14.300285000	-3.971315E+001
145	14.400280000	-1.857595E+001	14.400280000	-4.017644E+001
146	14.500275000	-2.263906E+001	14.500275000	-3.841199E+001
147	14.600270000	-2.546611E+001	14.600270000	-3.809594E+001
148	14.700265000	-2.538726E+001	14.700265000	-3.761800E+001
149	14.800260000	-2.414686E+001	14.800260000	-3.790226E+001
150	14.900255000	-2.325372E+001	14.900255000	-3.786210E+001
151	15.000250000	-2.134787E+001	15.000250000	-3.750988E+001
152	15.100245000	-1.993634E+001	15.100245000	-3.754866E+001
153	15.200240000	-1.961778E+001	15.200240000	-3.791076E+001
154	15.300235000	-1.782679E+001	15.300235000	-3.792481E+001
155	15.400230000	-1.684538E+001	15.400230000	-3.866637E+001
156	15.500225000	-1.655084E+001	15.500225000	-3.893423E+001
157	15.600220000	-1.564863E+001	15.600220000	-3.862882E+001
158	15.700215000	-1.523653E+001	15.700215000	-3.944020E+001
159	15.800210000	-1.452095E+001	15.800210000	-3.962189E+001
160	15.900205000	-1.359590E+001	15.900205000	-3.895961E+001
161	16.000200000	-1.306726E+001	16.000200000	-3.877118E+001
162	16.100195000	-1.186227E+001	16.100195000	-3.986351E+001
163	16.200190000	-1.150243E+001	16.200190000	-4.060506E+001
164	16.300185000	-1.098824E+001	16.300185000	-4.030712E+001
165	16.400180000	-1.068480E+001	16.400180000	-4.032861E+001
166	16.500175000	-1.038318E+001	16.500175000	-4.108768E+001
167	16.600170000	-1.023092E+001	16.600170000	-4.151044E+001
168	16.700165000	-9.543463E+000	16.700165000	-4.432617E+001
169	16.800160000	-9.159202E+000	16.800160000	-4.525092E+001
170	16.900155000	-9.093791E+000	16.900155000	-4.375362E+001
171	17.000150000	-9.406394E+000	17.000150000	-4.340335E+001
172	17.100145000	-9.433891E+000	17.100145000	-4.299795E+001
173	17.200140000	-9.915117E+000	17.200140000	-4.219387E+001
174	17.300135000	-1.044445E+001	17.300135000	-4.176550E+001
175	17.400130000	-1.085319E+001	17.400130000	-4.169796E+001
176	17.500125000	-1.155968E+001	17.500125000	-4.232762E+001
177	17.600120000	-1.244458E+001	17.600120000	-4.303928E+001
178	17.700115000	-1.314786E+001	17.700115000	-4.383104E+001
179	17.800110000	-1.444344E+001	17.800110000	-4.505276E+001
180	17.900105000	-1.504578E+001	17.900105000	-4.649155E+001
181	18.000100000	-1.652601E+001	18.000100000	-4.807549E+001
182	18.100095000	-1.749685E+001	18.100095000	-4.914884E+001
183	18.200090000	-1.766744E+001	18.200090000	-4.843648E+001
184	18.300085000	-1.783323E+001	18.300085000	-4.790836E+001
185	18.400080000	-1.589092E+001	18.400080000	-4.731438E+001
186	18.500075000	-1.433139E+001	18.500075000	-4.773275E+001
187	18.600070000	-1.253638E+001	18.600070000	-4.755965E+001
188	18.700065000	-1.115292E+001	18.700065000	-4.826732E+001
189	18.800060000	-1.000042E+001	18.800060000	-4.780607E+001
190	18.900055000	-9.283105E+000	18.900055000	-4.632208E+001
191	19.000050000	-8.972620E+000	19.000050000	-4.585226E+001
192	19.100045000	-9.170643E+000	19.100045000	-4.541671E+001
193	19.200040000	-9.344646E+000	19.200040000	-4.512640E+001
194	19.300035000	-9.387039E+000	19.300035000	-4.542025E+001
195	19.400030000	-9.499821E+000	19.400030000	-4.742635E+001
196	19.500025000	-9.533155E+000	19.500025000	-5.027837E+001
197	19.600020000	-9.510429E+000	19.600020000	-5.436940E+001
198	19.700015000	-9.988679E+000	19.700015000	-5.595058E+001
199	19.800010000	-1.020915E+001	19.800010000	-5.259263E+001
200	19.900005000	-1.019383E+001	19.900005000	-4.999316E+001
201	20.000000000	-9.758233E+000	20.000000000	-5.082906E+001
